year,importer_country,supplier_country,product_code,product_description,trade_flow,trade_value_usd,quantity_kg,avg_price_per_kg,product_group
2022,Egypt,Yemen,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,2331131.302,1181349.706,1.973277929609101,Frozen mackerel
2022,Egypt,Bahrain,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,1480283.926,161372.298,9.173098136087768,Frozen shrimp/prawns
2022,Egypt,Ecuador,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,168096.734,18324.968,9.173098365028522,Frozen shrimp/prawns
2022,Egypt,Oman,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,1221157.965,133123.831,9.173098128463566,Frozen shrimp/prawns
2022,Egypt,Saudi Arabia,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,11516757.626,1255492.685,9.173098149910766,Frozen shrimp/prawns
2022,Egypt,Thailand,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,80078.984,8729.764,9.173098379291812,Frozen shrimp/prawns
2022,Egypt,USA,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,25128.432,2739.361,9.173099857959576,Frozen shrimp/prawns
2022,Egypt,United Arab Emirates,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,144215768.66,15721598.784,9.173098146148442,Frozen shrimp/prawns
2022,Egypt,Yemen,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,3578211.203,390076.629,9.173098147851356,Frozen shrimp/prawns
2022,Egypt,United Arab Emirates,030342,"Fish; frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,5830.64,2523.594,2.310450888692872,Frozen yellowfin tuna
2022,Germany,Belgium,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,56747.548,23129.0,2.4535236283453674,Frozen Atlantic salmon
2022,Germany,Chile,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,3901043.427,540018.0,7.2239136973212,Frozen Atlantic salmon
2022,Germany,China,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,96.358,10.0,9.6358,Frozen Atlantic salmon
2022,Germany,Denmark,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,2982731.041,328606.0,9.076922031247147,Frozen Atlantic salmon
2022,Germany,Estonia,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,138011.366,42472.0,3.2494670841966475,Frozen Atlantic salmon
2022,Germany,France,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,7164.389,608.0,11.783534539473685,Frozen Atlantic salmon
2022,Germany,Ireland,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,129879.161,5385.0,24.118692850510676,Frozen Atlantic salmon
2022,Germany,Italy,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,73.063,2.0,36.5315,Frozen Atlantic salmon
2022,Germany,Lithuania,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,127689.395,26323.0,4.8508678722030165,Frozen Atlantic salmon
2022,Germany,Netherlands,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,628760.331,61858.0,10.164575818810825,Frozen Atlantic salmon
2022,Germany,Norway,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,18088183.467,1512556.622,11.958681879348514,Frozen Atlantic salmon
2022,Germany,Poland,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,383409.144,46753.0,8.200738861677324,Frozen Atlantic salmon
2022,Germany,Spain,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,4440.947,543.0,8.178539594843462,Frozen Atlantic salmon
2022,Germany,Switzerland,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1161.592,29.0,40.05489655172414,Frozen Atlantic salmon
2022,Germany,Ukraine,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1297.129,739.0,1.7552489851150201,Frozen Atlantic salmon
2022,Germany,Argentina,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,93029.045,109877.0,0.846665316672279,Frozen hake
2022,Germany,Canada,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,125133.256,5718.0,21.884095138160195,Frozen hake
2022,Germany,Chile,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,89253.075,51980.0,1.7170656983455175,Frozen hake
2022,Germany,Croatia,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,23653.283,6983.0,3.3872666475726763,Frozen hake
2022,Germany,Denmark,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1799.039,450.0,3.997864444444444,Frozen hake
2022,Germany,Ecuador,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,84541.055,21000.0,4.025764523809523,Frozen hake
2022,Germany,Greece,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,7654.65,1377.0,5.558932461873638,Frozen hake
2022,Germany,Italy,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,41042.226,5559.0,7.3830232056125205,Frozen hake
2022,Germany,Latvia,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,44395.702,15361.0,2.8901570210272767,Frozen hake
2022,Germany,Lithuania,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,175514.812,56220.0,3.121928352899324,Frozen hake
